TIME	IMEI	IP	
3/8/2016 (23:52)	0	62.74.8.170	
3/8/2016 (23:54)	0	36.78.202.17	
3/8/2016 (23:56)	352465078181525	37.211.63.94	
3/8/2016 (23:56)	358271065505542	154.118.243.34	
3/8/2016 (23:57)	354516056018952	41.202.219.75	
3/8/2016 (23:58)	0	114.125.108.107	
3/8/2016 (23:59)	0	190.167.65.5	
4/8/2016 (0:0)	869299028168191	112.215.44.139	
4/8/2016 (0:1)	355922073862407	89.65.217.164	
4/8/2016 (0:1)	355371071171637	91.230.25.125	
4/8/2016 (0:5)	867805029630476	120.164.47.60	
4/8/2016 (0:5)	357700063992840	114.125.179.239	
4/8/2016 (0:6)	352613065357612	95.185.146.49	
4/8/2016 (0:6)	0	85.117.122.72	
4/8/2016 (0:7)	0	114.121.236.170	
4/8/2016 (0:13)	0	46.32.123.71	
4/8/2016 (0:15)	357274073985269	154.70.29.126	
4/8/2016 (0:15)	358771060695057	36.73.82.61	
4/8/2016 (0:16)	354697046376500	103.255.4.95	
4/8/2016 (0:16)	354326078021921	41.130.138.23	
4/8/2016 (0:19)	356758065593827	187.19.164.65	
4/8/2016 (0:20)	352223068028614	212.96.80.85	
4/8/2016 (0:20)	0	176.224.28.47	
4/8/2016 (0:20)	0	37.237.158.157	
4/8/2016 (0:22)	352218063201117	197.53.73.131	
4/8/2016 (0:25)	0	112.215.153.193	
4/8/2016 (0:25)	357700060512864	36.77.37.3	
4/8/2016 (0:25)	355971060934588	124.153.33.8	
4/8/2016 (0:26)	0	124.195.118.91	
4/8/2016 (0:27)	355953062973418	223.190.108.15	
4/8/2016 (0:29)	354872070330372	103.255.5.46	
4/8/2016 (0:30)	0	180.254.163.147	
4/8/2016 (0:30)	0	202.67.44.29	
4/8/2016 (0:33)	357329077047753	94.96.52.60	
4/8/2016 (0:35)	861927032955470	112.215.147.92	
4/8/2016 (0:36)	356797050911750	120.164.41.88	
4/8/2016 (0:36)	354028075014483	114.4.76.27	
4/8/2016 (0:37)	0	185.117.149.64	
4/8/2016 (0:37)	352554069909422	37.238.121.32	
4/8/2016 (0:38)	359222064127068	179.247.153.88	
4/8/2016 (0:39)	864324028039609	151.68.114.22	
4/8/2016 (0:40)	355307073719916	188.49.182.128	
4/8/2016 (0:42)	357945051399124	31.28.46.73	
4/8/2016 (0:42)	866734022231028	61.245.163.194	
4/8/2016 (0:42)	0	151.82.155.21	
4/8/2016 (0:44)	0	185.88.25.140	
4/8/2016 (0:44)	355271060354246	223.255.230.38	
4/8/2016 (0:48)	359443068395507	223.255.230.229	
4/8/2016 (0:48)	356899067442231	196.66.166.243	
4/8/2016 (0:49)	0	114.4.78.54	
4/8/2016 (0:49)	0	39.252.65.214	
4/8/2016 (0:50)	356756060879795	202.67.46.11	
4/8/2016 (0:50)	355600068881760	51.39.17.241	
4/8/2016 (0:51)	867028025756092	114.125.119.18	
4/8/2016 (0:51)	356529063593568	124.195.118.132	
4/8/2016 (0:52)	354599060775676	114.125.62.19	
4/8/2016 (0:54)	356115068579347	180.214.233.4	
4/8/2016 (0:57)	358467066994608	187.217.195.17	
4/8/2016 (0:58)	357700062696566	45.121.217.13	
4/8/2016 (0:59)	353353062688003	106.132.128.29	
4/8/2016 (0:59)	0	179.154.78.99	
4/8/2016 (1:0)	352945052268018	185.69.5.247	
4/8/2016 (1:0)	0	187.126.112.89	
4/8/2016 (1:1)	356741057979907	120.164.43.58	
4/8/2016 (1:6)	356293065532278	112.215.45.66	
4/8/2016 (1:7)	353230072970656	78.95.219.184	
4/8/2016 (1:8)	0	120.169.254.72	
4/8/2016 (1:9)	354876061608480	114.125.174.7	
4/8/2016 (1:10)	0	179.67.98.248	
4/8/2016 (1:11)	0	177.79.21.96	
4/8/2016 (1:12)	357507050099996	37.238.160.109	
4/8/2016 (1:12)	0	80.116.71.206	
4/8/2016 (1:12)	867079022887497	112.215.153.186	
4/8/2016 (1:16)	359785042021116	114.125.63.89	
4/8/2016 (1:16)	355025063763070	103.228.156.32	
4/8/2016 (1:17)	0	88.135.62.104	
4/8/2016 (1:18)	0	37.238.160.109	
4/8/2016 (1:20)	356741058159673	36.78.52.126	
4/8/2016 (1:20)	356400075721524	80.246.138.1	
4/8/2016 (1:22)	0	191.247.242.17	
4/8/2016 (1:22)	862784022825588	31.15.84.166	
4/8/2016 (1:23)	863805020076236	217.118.81.23	
4/8/2016 (1:24)	353263061828098	120.169.254.242	
4/8/2016 (1:25)	351651062058388	120.169.254.58	
4/8/2016 (1:25)	0	114.121.135.193	
4/8/2016 (1:27)	0	114.125.77.94	
4/8/2016 (1:27)	868147027319466	37.237.128.36	
4/8/2016 (1:29)	359620041478217	177.133.117.215	
4/8/2016 (1:32)	0	114.79.29.175	
4/8/2016 (1:33)	358138065344489	202.67.39.19	
4/8/2016 (1:33)	0	31.31.187.172	
4/8/2016 (1:36)	0	114.125.108.90	
4/8/2016 (1:36)	0	202.67.40.27	
4/8/2016 (1:37)	356174076544769	196.183.18.78	
4/8/2016 (1:38)	352315052204936	92.96.153.86	
4/8/2016 (1:41)	358834060090719	39.59.2.177	
4/8/2016 (1:41)	0	114.125.186.156	
4/8/2016 (1:42)	356825011359536	46.133.185.23	
4/8/2016 (1:47)	0	114.125.186.156	
4/8/2016 (1:48)	354028075643794	36.74.187.138	
4/8/2016 (1:48)	0	188.50.78.208	
4/8/2016 (1:50)	358301077092393	171.254.6.92	
4/8/2016 (1:50)	359866052062941	114.4.76.253	
4/8/2016 (1:50)	0	190.242.75.11	
4/8/2016 (1:51)	352910061448407	46.50.4.31	
4/8/2016 (1:51)	353230075067310	37.237.156.109	
4/8/2016 (1:52)	0	31.173.100.33	
4/8/2016 (1:54)	358568056659232	37.47.164.113	
4/8/2016 (1:54)	0	114.4.76.88	
4/8/2016 (1:54)	355245060212208	114.125.48.21	
4/8/2016 (1:55)	354147061054145	186.77.195.22	
4/8/2016 (1:55)	0	114.125.82.83	
4/8/2016 (1:55)	0	46.32.124.187	
4/8/2016 (1:56)	357700061378844	202.67.37.42	
4/8/2016 (1:57)	0	37.53.31.163	
4/8/2016 (1:57)	352690061864965	191.221.208.13	
4/8/2016 (1:58)	0	41.142.254.132	
4/8/2016 (1:59)	352149075901248	134.35.226.113	
4/8/2016 (1:59)	0	114.121.235.214	
4/8/2016 (1:59)	0	31.173.100.33	
4/8/2016 (2:1)	0	5.108.149.232	
4/8/2016 (2:3)	355308060201306	112.215.66.65	
4/8/2016 (2:3)	0	188.115.172.217	
4/8/2016 (2:5)	357700060939893	114.124.34.25	
4/8/2016 (2:8)	868087027988656	114.125.29.158	
4/8/2016 (2:10)	0	202.67.40.193	
4/8/2016 (2:11)	0	202.67.44.29	
4/8/2016 (2:16)	358148041910469	83.220.239.67	
4/8/2016 (2:18)	0	202.67.42.37	
4/8/2016 (2:21)	353263068260949	223.255.227.27	
4/8/2016 (2:22)	0	46.221.128.206	
4/8/2016 (2:24)	355609060610390	95.90.213.165	
4/8/2016 (2:24)	356412070506479	202.67.37.38	
4/8/2016 (2:26)	10000454070	114.79.28.148	
4/8/2016 (2:28)	356604056323388	94.125.247.112	
4/8/2016 (2:28)	0	180.241.5.92	
4/8/2016 (2:28)	865127020173733	115.164.181.99	
4/8/2016 (2:29)	356446060349920	179.147.235.174	
4/8/2016 (2:30)	354666056093040	212.106.82.118	
4/8/2016 (2:31)	0	51.36.66.15	
4/8/2016 (2:35)	356021011856982	78.171.228.87	
4/8/2016 (2:36)	359761072082476	41.222.179.147	
4/8/2016 (2:38)	352967060119611	86.150.186.66	
4/8/2016 (2:39)	352746061628782	109.205.113.202	
4/8/2016 (2:44)	356894063358952	106.212.172.112	
4/8/2016 (2:44)	0	110.137.151.36	
4/8/2016 (2:46)	0	149.255.210.35	
4/8/2016 (2:48)	0	94.254.226.163	
4/8/2016 (2:50)	100002521	114.79.12.242	
4/8/2016 (2:51)	356753067389985	114.4.79.101	
4/8/2016 (2:52)	354862068603930	41.81.246.223	
4/8/2016 (2:54)	359656066522943	37.106.11.73	
4/8/2016 (2:54)	357638053528036	114.125.170.176	
4/8/2016 (2:55)	356801072281166	114.4.76.4	
4/8/2016 (2:56)	351722075212765	176.67.119.159	
4/8/2016 (2:58)	357518070177001	132.255.204.50	
4/8/2016 (2:58)	352957072669448	114.4.79.112	
4/8/2016 (3:3)	357093070158351	41.250.134.44	
4/8/2016 (3:4)	0	37.237.160.148	
4/8/2016 (3:4)	0	41.35.57.222	
4/8/2016 (3:5)	359077055668789	197.235.108.174	
4/8/2016 (3:5)	357909066527814	95.103.41.29	
4/8/2016 (3:6)	354738068487872	105.194.236.117	
4/8/2016 (3:9)	356801072807200	114.4.83.150	
4/8/2016 (3:10)	0	188.135.104.251	
4/8/2016 (3:15)	0	178.90.250.226	
4/8/2016 (3:18)	358817077101207	95.0.35.143	
4/8/2016 (3:19)	0	152.249.253.45	
4/8/2016 (3:20)	357682060295437	37.236.162.149	
4/8/2016 (3:20)	358819062866836	95.49.184.151	
4/8/2016 (3:22)	0	46.188.124.33	
4/8/2016 (3:23)	352205060415543	114.125.169.163	
4/8/2016 (3:25)	355084065426145	39.46.113.101	
4/8/2016 (3:26)	0	37.238.78.110	
4/8/2016 (3:28)	354876060831166	120.169.255.107	
4/8/2016 (3:29)	0	112.215.66.144	
4/8/2016 (3:34)	0	91.106.48.194	
4/8/2016 (3:35)	352202072686591	201.159.145.26	
4/8/2016 (3:35)	353360070736872	94.25.228.10	
4/8/2016 (3:36)	0	36.78.52.126	
4/8/2016 (3:38)	865770023199104	41.143.168.248	
4/8/2016 (3:39)	357700066113774	124.195.113.126	
4/8/2016 (3:40)	0	187.22.88.156	
4/8/2016 (3:40)	357700060980491	114.125.169.236	
4/8/2016 (3:41)	0	95.153.130.175	
4/8/2016 (3:43)	990004779579857	185.27.216.15	
4/8/2016 (3:48)	353571060422972	114.125.63.237	
4/8/2016 (3:48)	352888067770901	114.125.31.253	
4/8/2016 (3:48)	868147023726441	37.98.231.55	
4/8/2016 (3:53)	860941035233802	212.112.153.26	
4/8/2016 (3:53)	357099051204544	114.125.178.4	
4/8/2016 (3:54)	0	189.40.69.4	
4/8/2016 (3:55)	354832055648727	112.215.154.142	
4/8/2016 (3:56)	0	37.186.33.132	
4/8/2016 (3:56)	353771064835480	125.162.26.139	
4/8/2016 (4:1)	866400027236020	45.121.217.12	
4/8/2016 (4:4)	351625070380125	78.224.238.95	
4/8/2016 (4:4)	355308067603603	112.215.63.84	
4/8/2016 (4:4)	355971062115384	114.125.215.104	
4/8/2016 (4:6)	357392065910887	37.141.181.118	
4/8/2016 (4:7)	0	176.13.235.238	
4/8/2016 (4:9)	0	37.239.148.39	
4/8/2016 (4:9)	359973065933694	120.164.42.163	
4/8/2016 (4:9)	355215061106485	185.91.17.116	
4/8/2016 (4:12)	358945060278029	189.40.103.21	
4/8/2016 (4:12)	0	46.217.13.95	
4/8/2016 (4:15)	0	176.44.129.4	
4/8/2016 (4:15)	352716070783324	114.125.175.104	
4/8/2016 (4:17)	353501074920745	185.112.232.118	
4/8/2016 (4:19)	0	112.215.44.145	
4/8/2016 (4:21)	0	41.40.120.122	
4/8/2016 (4:25)	354623061563897	187.206.206.8	
4/8/2016 (4:25)	0	120.169.254.214	
4/8/2016 (4:29)	355251057620387	212.34.12.75	
4/8/2016 (4:32)	0	177.103.201.215	
4/8/2016 (4:33)	867562026527177	180.246.28.201	
4/8/2016 (4:33)	357909069191642	202.67.45.34	
4/8/2016 (4:34)	0	114.125.104.226	
4/8/2016 (4:36)	358208056610543	114.125.82.81	
4/8/2016 (4:43)	359038050070728	37.239.124.11	
4/8/2016 (4:43)	355308062785900	114.125.174.219	
4/8/2016 (4:45)	358916020865973	114.125.84.232	
4/8/2016 (4:45)	0	112.196.146.134	
4/8/2016 (4:45)	0	41.189.61.11	
4/8/2016 (4:47)	355639070812033	89.42.63.118	
4/8/2016 (4:47)	356604058999086	177.191.94.95	
4/8/2016 (4:48)	359703051439459	105.112.36.9	
4/8/2016 (4:53)	352149073995416	37.237.158.193	
4/8/2016 (4:54)	352375061217477	202.67.42.40	
4/8/2016 (4:57)	869376000001317	202.62.17.62	
4/8/2016 (4:57)	359658066427834	37.200.222.247	
4/8/2016 (4:58)	359998061558005	202.62.16.25	
4/8/2016 (4:58)	356381064324753	212.126.112.41	
4/8/2016 (5:3)	355831051839552	180.251.90.90	
4/8/2016 (5:6)	358627060488028	114.125.208.174	
4/8/2016 (5:8)	0	112.215.151.211	
4/8/2016 (5:9)	864179026899739	45.121.217.15	
4/8/2016 (5:9)	0	41.254.5.222	
4/8/2016 (5:11)	0	45.108.162.178	
4/8/2016 (5:11)	354581062101069	42.60.134.130	
4/8/2016 (5:12)	359888064251288	186.212.120.118	
4/8/2016 (5:12)	0	196.141.138.210	
4/8/2016 (5:15)	354028078898064	120.169.254.159	
4/8/2016 (5:16)	0	126.229.0.1	
4/8/2016 (5:17)	865987020458230	120.164.46.59	
4/8/2016 (5:17)	0	112.215.44.103	
4/8/2016 (5:22)	0	112.215.64.196	
4/8/2016 (5:25)	358003056335609	120.164.41.69	
4/8/2016 (5:27)	358301059297903	120.169.254.156	
4/8/2016 (5:29)	352223066139371	41.253.136.108	
4/8/2016 (5:29)	352905055114023	114.121.232.73	
4/8/2016 (5:30)	0	82.53.62.235	
4/8/2016 (5:31)	0	114.124.27.236	
4/8/2016 (5:32)	358114064217653	39.250.245.160	
4/8/2016 (5:33)	357638051934616	120.164.45.160	
4/8/2016 (5:33)	865022029265897	120.164.43.159	
4/8/2016 (5:34)	357595063957912	115.164.54.47	
4/8/2016 (5:34)	357379052969059	114.125.42.10	
4/8/2016 (5:35)	359919053180616	105.145.192.112	
4/8/2016 (5:35)	0	114.125.31.46	
4/8/2016 (5:36)	12590006376848	124.195.112.156	
4/8/2016 (5:37)	0	112.215.63.31	
4/8/2016 (5:39)	0	202.67.46.40	
4/8/2016 (5:40)	351778062946476	5.73.196.131	
4/8/2016 (5:41)	359464075863865	94.254.226.244	
4/8/2016 (5:43)	0	193.41.77.90	
4/8/2016 (5:45)	356400073588438	112.215.154.253	
4/8/2016 (5:45)	100003127	114.79.29.201	
4/8/2016 (5:47)	352144073669194	5.1.109.253	
4/8/2016 (5:48)	354028070327666	114.121.234.170	
4/8/2016 (5:50)	357195054084790	45.217.94.168	
4/8/2016 (5:53)	352569071400228	119.160.67.27	
4/8/2016 (5:53)	0	112.215.64.131	
4/8/2016 (5:53)	0	41.79.219.222	
4/8/2016 (5:56)	0	36.78.201.145	
4/8/2016 (5:59)	0	114.125.168.179	
4/8/2016 (6:0)	352293065223161	179.69.206.132	
4/8/2016 (6:1)	358271065505542	154.118.243.34	
4/8/2016 (6:4)	355797061086049	112.215.45.14	
4/8/2016 (6:5)	359888061246661	177.100.207.154	
4/8/2016 (6:5)	867805029630476	120.164.46.233	
4/8/2016 (6:5)	0	202.67.42.46	
4/8/2016 (6:6)	355922073862407	89.65.217.164	
4/8/2016 (6:8)	354028071688157	202.67.46.47	
4/8/2016 (6:9)	358414063387360	115.164.57.134	
4/8/2016 (6:10)	3834362	114.79.51.1	
4/8/2016 (6:12)	357700064081536	120.169.254.184	
4/8/2016 (6:14)	352613065357612	95.185.35.168	
4/8/2016 (6:15)	357700063992840	114.125.179.239	
4/8/2016 (6:16)	353022078011456	114.125.28.227	
4/8/2016 (6:16)	10000311243	202.73.225.104	
4/8/2016 (6:16)	358771060695057	36.73.82.61	
4/8/2016 (6:16)	0	85.117.122.72	
4/8/2016 (6:17)	354697046376500	43.247.123.88	
4/8/2016 (6:19)	864179024690551	180.253.59.2	
4/8/2016 (6:21)	0	190.167.65.5	
4/8/2016 (6:23)	0	37.237.158.137	
4/8/2016 (6:24)	353665061097757	92.241.50.58	
4/8/2016 (6:30)	357700060512864	36.77.37.3	
4/8/2016 (6:30)	355971060934588	180.214.233.73	
4/8/2016 (6:34)	0	180.254.163.147	
4/8/2016 (6:34)	0	112.215.153.75	
4/8/2016 (6:35)	0	114.125.8.59	
4/8/2016 (6:36)	0	114.4.76.43	
4/8/2016 (6:41)	356797050911750	120.164.41.88	
4/8/2016 (6:41)	353147076174772	114.125.184.196	
4/8/2016 (6:42)	357329077047753	93.169.36.79	
4/8/2016 (6:42)	357766073291622	130.193.185.238	
4/8/2016 (6:43)	359222064127068	179.247.153.88	
4/8/2016 (6:43)	0	114.4.82.57	
4/8/2016 (6:44)	864324028039609	151.36.86.118	
4/8/2016 (6:45)	355307073719916	95.186.11.228	
4/8/2016 (6:45)	354028075014483	114.4.76.27	
4/8/2016 (6:47)	0	185.117.149.64	
4/8/2016 (6:49)	353483070103834	188.162.228.92	
4/8/2016 (6:49)	353510073217664	131.0.60.110	
4/8/2016 (6:50)	0	191.157.81.35	
4/8/2016 (6:50)	359443068395507	103.10.66.27	
4/8/2016 (6:51)	352716071553908	114.125.208.130	
4/8/2016 (6:53)	0	120.168.0.119	
4/8/2016 (6:53)	0	114.4.76.35	
4/8/2016 (6:53)	356756060879795	202.67.40.249	
4/8/2016 (6:56)	355762058243011	114.125.177.19	
4/8/2016 (6:56)	867028025756092	114.125.119.18	
4/8/2016 (6:57)	354599060775676	114.125.11.255	
4/8/2016 (6:58)	0	110.137.149.79	
4/8/2016 (6:59)	356529063593568	114.4.76.50	
4/8/2016 (7:1)	356115068579347	180.214.232.14	
4/8/2016 (7:2)	352945052268018	185.69.4.21	
4/8/2016 (7:2)	358467066994608	187.217.195.17	
4/8/2016 (7:2)	357381053075183	114.125.82.132	
4/8/2016 (7:3)	356759042751561	36.71.167.142	
4/8/2016 (7:3)	0	114.125.174.201	
4/8/2016 (7:4)	0	114.121.154.186	
4/8/2016 (7:5)	0	187.126.112.89	
4/8/2016 (7:6)	356801072449466	202.67.42.45	
4/8/2016 (7:7)	353353062688003	106.132.128.29	
4/8/2016 (7:10)	356293065532278	112.215.45.61	
4/8/2016 (7:11)	353230072970656	78.95.128.175	
4/8/2016 (7:12)	355070052907163	112.215.44.146	
4/8/2016 (7:12)	358949051320501	140.0.95.168	
4/8/2016 (7:15)	0	95.249.12.101	
4/8/2016 (7:15)	0	201.5.68.105	
4/8/2016 (7:16)	353516077479689	36.66.248.145	
4/8/2016 (7:16)	0	179.80.230.116	
4/8/2016 (7:17)	355271060354246	223.255.229.67	
4/8/2016 (7:17)	0	114.125.177.187	
4/8/2016 (7:17)	355271061277693	114.125.116.10	
4/8/2016 (7:18)	354738067326378	94.98.26.1	
4/8/2016 (7:18)	0	114.125.61.150	
4/8/2016 (7:19)	0	114.125.190.214	
4/8/2016 (7:19)	356758065593827	201.9.49.30	
4/8/2016 (7:21)	359785042021116	114.125.63.89	
4/8/2016 (7:22)	0	88.135.62.104	
4/8/2016 (7:24)	356400075721524	80.246.138.1	
4/8/2016 (7:25)	0	114.125.174.60	
4/8/2016 (7:28)	358771060588864	112.215.45.187	
4/8/2016 (7:30)	353263061828098	120.164.42.110	
4/8/2016 (7:31)	0	114.120.233.47	
4/8/2016 (7:33)	358138065344489	202.67.39.26	
4/8/2016 (7:33)	863805020076236	217.118.81.23	
4/8/2016 (7:34)	0	43.245.8.88	
4/8/2016 (7:34)	354876061608480	114.125.184.125	
4/8/2016 (7:35)	0	80.248.73.204	
4/8/2016 (7:36)	866038022814431	114.121.153.178	
4/8/2016 (7:40)	0	180.248.1.148	
4/8/2016 (7:40)	351651065163227	114.121.128.220	
4/8/2016 (7:42)	354653050157468	202.67.42.45	
4/8/2016 (7:43)	352315052204936	92.96.153.86	
4/8/2016 (7:43)	0	37.238.166.109	
4/8/2016 (7:44)	356825011359536	46.133.7.32	
4/8/2016 (7:44)	359620041478217	177.133.117.215	
4/8/2016 (7:46)	0	114.4.76.117	
4/8/2016 (7:46)	358834060090719	39.59.2.177	
4/8/2016 (7:48)	357507050099996	37.238.166.109	
4/8/2016 (7:49)	356741057979907	180.248.217.108	
4/8/2016 (7:50)	0	114.125.108.90	
4/8/2016 (7:50)	0	202.67.44.31	
4/8/2016 (7:50)	0	114.125.173.3	
4/8/2016 (7:51)	0	114.121.238.118	
4/8/2016 (7:52)	355953062973418	223.230.25.103	
4/8/2016 (7:55)	358301077092393	27.74.216.33	
4/8/2016 (7:55)	358834060090719	39.59.2.177	
4/8/2016 (7:57)	357453062372834	114.124.1.98	
4/8/2016 (7:57)	359785045232744	36.80.55.14	
4/8/2016 (7:58)	357700062247147	114.124.25.224	
4/8/2016 (7:58)	354028075643794	202.67.40.234	
4/8/2016 (7:59)	357700061378844	202.67.37.46	
4/8/2016 (7:59)	0	190.242.75.11	
4/8/2016 (8:0)	0	114.125.82.180	
4/8/2016 (8:0)	356801070890943	120.164.43.151	
4/8/2016 (8:0)	358834060090719	39.59.81.249	
4/8/2016 (8:2)	0	37.53.31.163	
4/8/2016 (8:2)	0	114.121.235.214	
4/8/2016 (8:2)	352690061864965	177.203.225.235	
4/8/2016 (8:3)	0	112.215.147.69	
4/8/2016 (8:5)	0	31.173.120.61	
4/8/2016 (8:5)	358194052120853	186.15.150.127	
4/8/2016 (8:6)	357700060939893	114.124.38.186	
4/8/2016 (8:7)	860071021498753	36.79.243.69	
4/8/2016 (8:8)	351777061434195	27.97.190.201	
4/8/2016 (8:8)	0	176.119.126.25	
4/8/2016 (8:9)	0	5.108.149.232	
4/8/2016 (8:11)	358302056807025	202.67.44.2	
4/8/2016 (8:15)	0	202.67.46.8	
4/8/2016 (8:17)	359758071126148	41.219.31.149	
4/8/2016 (8:18)	0	202.67.44.11	
4/8/2016 (8:19)	0	202.67.42.33	
4/8/2016 (8:27)	356879068853750	114.121.233.118	
4/8/2016 (8:28)	357932069705609	5.156.244.145	
4/8/2016 (8:29)	356879066432227	114.120.236.161	
4/8/2016 (8:30)	355609060610390	95.90.213.165	
4/8/2016 (8:31)	353263068260949	223.255.227.26	
4/8/2016 (8:31)	10000454070	114.79.28.148	
4/8/2016 (8:32)	35718806037814	173.173.177.124	
4/8/2016 (8:33)	356604056323388	94.125.247.112	
4/8/2016 (8:33)	356446060349920	179.147.235.174	
4/8/2016 (8:35)	356742069937537	180.241.5.92	
4/8/2016 (8:36)	866043027484875	42.0.7.245	
4/8/2016 (8:40)	0	120.169.255.41	
4/8/2016 (8:40)	357909060745651	114.125.45.218	
4/8/2016 (8:40)	0	91.192.66.179	
4/8/2016 (8:42)	356412070506479	202.67.37.47	
4/8/2016 (8:45)	0	180.244.66.235	
4/8/2016 (8:45)	357945051399124	31.28.46.73	
4/8/2016 (8:46)	354961050106355	117.228.139.29	
4/8/2016 (8:48)	0	114.125.104.101	
4/8/2016 (8:48)	352967060119611	86.150.186.66	
4/8/2016 (8:52)	359143061581083	114.125.173.197	
4/8/2016 (8:54)	356894063358952	223.187.207.149	
4/8/2016 (8:55)	0	114.125.13.21	
4/8/2016 (8:55)	351549060336667	171.253.9.143	
4/8/2016 (8:56)	356753067389985	124.195.115.59	
4/8/2016 (8:57)	354418071842344	112.215.44.48	
4/8/2016 (8:57)	357392055655021	114.125.205.222	
4/8/2016 (8:59)	357638053528036	114.125.187.161	
4/8/2016 (9:0)	356801072281166	114.4.76.4	
4/8/2016 (9:0)	0	114.124.4.26	
4/8/2016 (9:0)	357274073985269	105.163.59.213	
4/8/2016 (9:0)	100002521	202.73.225.31	
4/8/2016 (9:1)	0	114.121.236.179	
4/8/2016 (9:3)	352957072669448	114.4.79.112	
4/8/2016 (9:4)	0	114.125.83.86	
4/8/2016 (9:4)	352975071503038	49.244.9.3	
4/8/2016 (9:14)	0	82.114.168.157	
4/8/2016 (9:18)	0	112.215.66.94	
4/8/2016 (9:23)	358667061212555	106.209.162.204	
4/8/2016 (9:26)	359291056999867	190.237.183.48	
4/8/2016 (9:28)	357682060295437	37.236.162.149	
4/8/2016 (9:29)	354876060831166	120.169.255.107	
4/8/2016 (9:29)	0	189.40.72.195	
4/8/2016 (9:32)	355084065426145	39.46.78.235	
4/8/2016 (9:32)	0	61.5.86.55	
4/8/2016 (9:35)	353360070736872	94.25.228.10	
4/8/2016 (9:39)	0	91.106.48.194	
4/8/2016 (9:39)	352223068028614	212.96.79.108	
4/8/2016 (9:40)	354147061054145	186.77.199.150	
4/8/2016 (9:40)	0	112.215.64.124	
4/8/2016 (9:41)	357700066113774	124.195.113.126	
4/8/2016 (9:45)	357700060980491	114.125.169.236	
4/8/2016 (9:45)	0	95.153.130.175	
4/8/2016 (9:46)	0	36.78.52.126	
4/8/2016 (9:46)	354793050930991	114.4.78.152	
4/8/2016 (9:48)	353571060422972	114.125.11.104	
4/8/2016 (9:50)	357700063510758	114.121.237.189	
4/8/2016 (9:52)	0	46.221.128.30	
4/8/2016 (9:52)	352888067770901	114.125.30.59	
